prospect_id,hashed_email,hashed_phone,curp_hash,first_identified_ts,geo_state,age_band,income_band,segment_label,intent_band,lead_quality_score,is_existing_customer
PR000011,8f8c26d382e91f4d77fd90ac69fc461c,9f01a4578413f65994c56f4e,a231ceae82ad538c8d3e4063,2025-02-18 11:16:58,Estado de México,55+,10k-20k,Baja intención masivo,Baja,24.76,0
PR000012,583cc1f0899b1360128b0bf253004380,475e4f2869165904d81301c1,dc21d9354cd35ccb39df9596,2025-08-02 09:46:47,Nuevo León,18-24,20k-35k,Prospecto informativo,Baja,36.45,0
PR000013,51330593115f61a8cbe770a29d91bf42,264edb80b8bfdd5065a9c083,883e666f8c39399b06500855,2025-04-05 23:22:53,Yucatán,25-34,20k-35k,Prospecto informativo,Baja,47.33,0
PR000014,c33bd4f1b32f19d26474e5c9dc534bd4,f9099fd6334708f6a1c7f13f,e28c91e62528a1473ef61517,2025-02-14 21:58:09,CDMX,25-34,10k-20k,Baja intención masivo,Baja,33.47,0
PR000015,0d04c32e91bef57fc8957d6b599315a4,12d7436d5317b2b0f95a3b08,9bff58a1c91e90b3830c3669,2025-05-03 05:12:30,Jalisco,25-34,10k-20k,Baja intención masivo,Baja,39.68,0
PR000016,5ee3c324ad61be7b876b8704f3484fee,b215783f129181f00ad04ad7,c6164830f808b27490c297b0,2025-04-04 10:39:30,CDMX,55+,20k-35k,Prospecto informativo,Media,49.79,0
PR000017,84835e812231bac0f24315ae178ffa25,b8e711e5a8a57607dd3e9e50,71f60b6cd979077126354f21,2025-07-31 05:10:16,Chihuahua,25-34,20k-35k,Joven digital,Media,66.11,0
PR000018,9656d82f3111a29d9d791f6cd287c239,cb2d5a5a5267c599e736669f,426659cacf33455cdbec1961,2025-05-10 02:43:33,Yucatán,18-24,20k-35k,Joven digital,Media,74.45,0
PR000019,df091b90580a44d8690fa0ee6df85b7f,6014519f0594c5d081beb2fc,1aac05232ecfb75dfd1fd863,2025-09-10 14:23:18,Coahuila,55+,35k-50k,Prospecto informativo,Media,62.76,0
PR000020,087ce1e20b4e7c840a8adb0e946d6463,0669d65d65ddf6aeddac720e,1952baed7f52efc452b3c832,2025-04-09 00:21:56,Chihuahua,25-34,20k-35k,Prospecto informativo,Baja,51.44,0
PR000021,222d6d61a653f46e3540e9d093121127,288f1deb0fd01156cfff4975,a95a2e7c5b61aebc581712aa,2025-06-13 01:37:27,Estado de México,18-24,10k-20k,Baja intención masivo,Baja,21.77,0
PR000022,17364970edea9e3b0a9b1a89d1a287d4,929e55ab0d44acabf836180b,6b8aec2ab46bc11d8b3760e5,2025-09-19 03:27:52,Guanajuato,18-24,10k-20k,Joven digital,Media,53.94,0
PR000023,3de5790d330f826107ea8a901cf242d8,957ff2fe5fcf241ad23bd8fa,6269d370cc0ed0709cee2a4e,2025-11-15 12:43:45,CDMX,25-34,0-10k,Joven digital,Media,62.97,0
PR000024,f075f490a98cff995e850102a93fc9fd,6e4e0f64b868dc8fb80298b4,8072073a9c45668cdda736ca,2025-12-29 03:27:39,CDMX,45-54,10k-20k,Baja intención masivo,Baja,27.88,0
PR000025,2f2a53ac584c1ac2e9cfe6985b4eaedd,c2d6aa6ce83b7f4d8cb4dc9b,721ddc476321dab9e35a00bd,2025-05-25 05:48:39,Yucatán,18-24,35k-50k,Prospecto informativo,Baja,48.78,0
PR000026,99cd409fe3ab22440fe083c1f075e731,facee6994528bef7065083d7,fe15d396d6ba128c29b63b43,2025-11-02 05:12:08,Puebla,35-44,20k-35k,Asalariado consolidado,Baja,64.39,0
PR000027,c0b73b15b3ff56a808c2a8e26a6e3b6c,f96a60796da4d370198aa26b,6d3134172f1c6091cdaaa7e9,2025-07-31 22:57:17,Guanajuato,25-34,20k-35k,Joven digital,Media,58.41,0
PR000028,122234c47f23fda21ef745efa292f33f,d5aaa3e174361c9fdc2a901d,4c44b56778cfc785a542a7ab,2025-06-16 15:53:49,Chihuahua,25-34,10k-20k,Joven digital,Media,63.52,0
PR000029,dd8a47a687c9aefd72d850ec1702f2e8,9781388a081b53900426eabb,33251aeaa5e1579bc3f36298,2025-08-28 02:17:01,Veracruz,35-44,20k-35k,Asalariado consolidado,Media,72.55,0
PR000030,527bc519155beb687c6caf2fd65b406c,fb3f5c5a8a451620c532c008,8ee7fb1c8f7122e398278c43,2025-09-24 19:28:56,Guanajuato,35-44,10k-20k,Prospecto informativo,Media,62.89,0
PR000031,f7d736e735997867277ee0bd7ba774e6,aaddf2168c51c2ddc9b5714f,297bd72824d0ecdead007b96,2025-06-24 17:54:51,Guanajuato,35-44,10k-20k,Cliente existente digital,Baja,66.48,1
PR000032,af95d7c2d20a016ee4d119641f4d33e8,44884e5c0b1cde2c951b1791,721faf2ba2eb1fd58bccb361,2025-07-03 14:49:04,Nuevo León,25-34,20k-35k,Joven digital,Media,65.76,0
PR000033,d8f3017447487b35ab75102955e9f8f1,1a5a6e8523f895e7c97613b4,af1d0cd9b1d930b6d0110999,2025-02-15 21:36:02,CDMX,18-24,0-10k,Cliente existente digital,Baja,49.62,1
PR000034,f050c640e336e812e9f70695047695b9,a5a74fcede8e6b9f63ba8f77,36d4d0141165c81c0f284e57,2025-04-18 23:34:26,Estado de México,35-44,10k-20k,Prospecto informativo,Media,65.36,0
PR000035,dfebeed01e7cbc1d01fd10e4fa3a41c6,59f0a237136e6daa521bb09a,9ee23000a62a21d5862d506b,2025-10-21 05:49:21,Jalisco,35-44,0-10k,Prospecto informativo,Media,54.09,0
PR000036,9fc98783ec11525b6a1522f07ddf53ae,bd1f43a27f7ae950c294a396,1de17b4b65427d87b8d485b6,2025-12-03 09:56:02,Estado de México,25-34,0-10k,Baja intención masivo,Baja,26.92,0
PR000037,0f5ea6c3b514ed1d5e0310750054270c,932be32d3bb4c44277d118c6,b31b83dc621989eecd4e5e8a,2025-04-21 21:31:09,San Luis Potosí,25-34,10k-20k,Baja intención masivo,Baja,29.63,0
PR000038,ce0c0978fb272de73718d79b8dd14b56,3779492d2aba011a15d1cd1e,20c67cc37a284a3cd0d6bf1b,2025-03-20 02:41:11,Jalisco,45-54,20k-35k,Asalariado consolidado,Baja,48.29,0
PR000039,fa77bbfcf0d306f4e9674e672a4088a9,2d9b6e238c8ec164ae27cc9f,abd27f54fad0b2cb72dac987,2025-06-07 07:54:27,CDMX,18-24,10k-20k,Joven digital,Media,61.09,0
PR000040,2313bbdb5d38899e11e228015e3da8c8,1365cd061aa7184cf26632e5,4323229bc2e37f09d1d3d8e0,2025-05-21 06:33:36,Nuevo León,35-44,0-10k,Baja intención masivo,Baja,29.16,0
PR000041,90aae46122d68fdffe0c8b23eb74a073,d2a41a323d710d6cab0a6d3c,f720e590df304b9ceddd4a55,2025-02-17 19:52:04,Nuevo León,35-44,10k-20k,Prospecto informativo,Alta,71.04,0
PR000042,e8f004b891904e2c23beda19f1533412,fde9eb9868c5bc11e46e6274,0ddb425ff3386cfaa9c09f81,2025-04-14 14:47:20,Yucatán,25-34,10k-20k,Joven digital,Media,71.78,0
PR000043,6cddcfc9095e161ef970169147bc399a,29314364603e96d74ab1f4e5,6c6cdab55618ab614762a3a5,2025-09-14 11:58:59,Guanajuato,25-34,35k-50k,Cliente existente digital,Baja,61.72,1
PR000044,ff82743d439fd4e7d75059c2547f9ffe,5da035a68a72c31cace1e20d,db90a68848b0dd1e513e96a1,2025-11-26 23:50:38,Chihuahua,35-44,35k-50k,Cliente existente digital,Baja,66.15,1
PR000045,b749ddee8c9f55d77cccd2d46e61122e,fb1b80e0db87b50829c77686,ddb0e51820fbd692b8d623af,2025-08-23 23:32:56,Yucatán,35-44,20k-35k,Cliente existente digital,Baja,47.3,1
PR000046,936c6564b860b52ab1fe11bbddcd053f,0adf3ce87e0186cd580ac372,a507c88972a36590e4a3709d,2025-10-11 17:41:14,Estado de México,45-54,20k-35k,Asalariado consolidado,Media,73.34,0
PR000047,3849f90e38cfe9d40b0ac2255b21dfa1,e6274146df1336a9e075d904,a660cc8f8f1501e2226027ed,2025-09-28 11:02:23,Michoacán,35-44,20k-35k,Asalariado consolidado,Alta,76.06,0
PR000048,7a0bcfea72824fcbbf51ca7b51ee361b,7f757c5f9629013c33fc2aaf,5c17ab511729db1c93a5cbfb,2025-04-11 06:02:27,Jalisco,18-24,10k-20k,Joven digital,Media,57.19,0
PR000049,82509cadd368140a7ee1af44767eecf3,1e083ba172d6861e9d31d865,34aae452e9ccf932e71af24f,2025-04-27 03:16:03,CDMX,25-34,20k-35k,Prospecto informativo,Baja,35.82,0
PR000050,635d39d096e6818ad8d14f7de9bb5e5d,412b4872ae8a9810fd60b106,35c14328a245a757f2ccfc0a,2025-06-20 21:25:25,CDMX,35-44,10k-20k,Baja intención masivo,Baja,34.02,0
PR000051,23a84174ca51e23b9dbcb177b38e7528,3c634f28fc3e4348083206be,b15753752fc00ce0140e8d5a,2025-06-01 00:38:23,Baja California,25-34,10k-20k,Joven digital,Alta,74.59,0
PR000052,6582911b047c18c35a756bddfbfc6eaf,c3cc94621c25241aa36189b2,21c925982c2378660e6f0826,2025-07-27 07:07:04,Estado de México,45-54,35k-50k,Asalariado consolidado,Baja,56.98,0
PR000053,ae0a7d4d655849af327281dd61d6418a,26e427a509627a944d4d0798,285287d2f401a2d4683f06da,2025-07-18 14:08:49,Jalisco,25-34,35k-50k,Joven digital,Media,71.37,0
PR000054,4ca67e18984409c3b92217bdcb524f69,287f6967cb3e1c96e4421865,c4f162fbd0709840a60fc674,2025-04-15 21:16:24,Puebla,18-24,10k-20k,Baja intención masivo,Baja,19.67,0
PR000055,4d5a3245f3dfab45dc6e6dbb2797def0,6aa192c0e7401c6132925cbf,80aebc29570838e86f831bd6,2025-07-04 23:46:39,CDMX,25-34,50k+,Prospecto informativo,Baja,63.07,0
PR000056,8517ff30c51960af8225db2bcf6e77dc,c124eee6f08735c67034f1c6,780ab9f5054d4f7543076509,2025-05-02 19:04:09,Coahuila,45-54,20k-35k,Asalariado consolidado,Baja,47.16,0
PR000057,54574e064f1193926d74990865ac84d8,c934f897fe6c0a5aa2f18527,4db1e62c9c609b8ef7956679,2025-07-24 20:54:50,Estado de México,35-44,20k-35k,Asalariado consolidado,Baja,69.11,0
PR000058,0f8d50f39c2075cb0e24feb24dafa980,76e94fc1e8de5bf6725c9ffd,ac1d98bd94a637802a97d0fd,2025-04-18 01:53:50,Estado de México,35-44,20k-35k,Cliente existente digital,Baja,62.17,1
PR000059,d7f8a517080ba33452587129ca102198,d2bffa5aa2dcda6f082f029e,4a7e4eedd27064f4fe225650,2025-11-04 20:09:39,Nuevo León,25-34,35k-50k,Joven digital,Media,83.47,0
PR000060,ac65cc0e45407898f0648e0216a8e3b1,cc0e48fd7623dbf4ce3dfcaa,4c3f904e37ea4894b97cd96a,2025-02-26 09:06:40,Veracruz,45-54,50k+,Cliente existente digital,Media,83.7,1
PR000061,b1940c96ff709192c0e583db2a48e18c,50cfd6df23c3305f5993a0d2,a7df8c9f6d8ce49558319230,2025-08-08 17:24:57,Estado de México,45-54,20k-35k,Asalariado consolidado,Media,75.77,0
PR000062,c2507cd88c863d615a9a7bb2122376ae,908b2653ed60355252f71412,3466e2051faeb155d163f4b6,2025-03-11 03:01:48,CDMX,25-34,10k-20k,Baja intención masivo,Baja,23.11,0
PR000063,2e0ede7e2c23a6f9c0bf8677843fb98e,dd777560cce11f29cab48184,19fb3d4722f5567745588aa7,2025-06-26 14:52:32,CDMX,45-54,20k-35k,Asalariado consolidado,Media,58.11,0
PR000064,ee388987cb878066e6565e6249a16180,32a6bd8044ef36543127d352,38b768d220956d5abbf4815f,2025-06-19 09:42:37,Otros,45-54,10k-20k,Baja intención masivo,Baja,39.39,0
PR000065,41e91027ed6e772652622e46fa9f506b,1d8dcbf08b23c64c09c1cf83,db9617069a48ca7836e22e09,2025-10-21 01:01:08,Otros,25-34,20k-35k,Joven digital,Alta,89.68,0
PR000066,f384462b69b200b9b4f7ab110de621cf,28c07f84fa127020dc6b0ab3,736054d7f456a9b9b37095c7,2025-08-17 02:22:10,Coahuila,25-34,50k+,Prospecto informativo,Baja,47.71,0
PR000067,62b7a9bcce0c694ab6c7d6a5b3b8a287,e9cea18d514bf379e82b81a0,904515203b04c7eea62d9693,2025-06-28 18:16:46,Nuevo León,35-44,35k-50k,Asalariado consolidado,Media,89.53,0
PR000068,d85408da0b56d84c43f3fa5ebbd5b9e2,cba5bb5e4edc4f4d6402c21a,3b108b0d5616871f4b362e97,2025-05-10 02:01:29,Otros,25-34,10k-20k,Joven digital,Media,49.6,0
PR000069,d5880b58b8256fa49d8dd341172cb6d5,a64b91ba4d78f05d66a306a2,8d3227f079d00b4dbae059f2,2025-03-17 22:27:08,Chihuahua,45-54,10k-20k,Prospecto informativo,Media,55.92,0
PR000070,a5acba6962df3d9c751ad7cb6613db4f,587dae4afe42aae188bc7f22,134ce49c95f66eabc2953b08,2025-04-02 10:25:15,Coahuila,35-44,10k-20k,Prospecto informativo,Media,55.0,0
PR000071,491d997678218a58b97883727519f3fc,c8726c98aa145d36f2eb5122,9c56a3bbe7d29305f771f1de,2025-04-26 22:19:55,Estado de México,25-34,10k-20k,Joven digital,Media,62.12,0
PR000072,47c4c850ad54a3b0be1f81c6a2ea4ae6,569e2c32c08bcfc3fb0e7227,1e085df09097cb2e573b99a5,2025-06-13 22:47:23,Nuevo León,25-34,50k+,Cliente existente digital,Media,93.01,1
PR000073,41aec5850c7cb665e6c9b128b50c28c4,351f673d1b87e3eaf3742e87,cbd9ad7c9e6dc9355a48fbe1,2025-01-31 18:34:03,CDMX,35-44,10k-20k,Baja intención masivo,Baja,21.15,0
PR000074,3f4a83540928aa425da3dd691bb59889,361fadf76556e18ac18cb42c,47acb3f368d1ec344cb4fc40,2025-04-26 03:51:14,Otros,18-24,35k-50k,Prospecto informativo,Baja,45.66,0
PR000075,d75121edc18482e616cb46a2572da783,f152f2e5e7ee02ebdd83c2e4,36b16c0a0cb36940c5720faf,2025-01-26 19:48:56,Estado de México,25-34,10k-20k,Joven digital,Media,51.93,0
PR000076,c662d484bed7ba859af626d055deb3e9,25d63c7d8c49de5b802713b7,364bf8d1cadd865511d7c4c1,2025-08-03 13:30:01,Jalisco,18-24,20k-35k,Joven digital,Media,56.13,0
PR000077,ff85b752666493b68ad675b3b01b5343,59e2df1150ee35e2f0c063b6,5494fe9e57032047406ac726,2025-08-23 21:25:22,Nuevo León,45-54,50k+,Prospecto informativo,Baja,55.17,0
PR000078,f160b40924c11d80f7b29fe9ad037058,7943c19d4a603f05f090f8b0,9e4b48b58d28f15d8cb73e2c,2025-05-16 20:19:47,Querétaro,18-24,20k-35k,Joven digital,Media,62.19,0
PR000079,2e13b96cdd1f7fe0e3bba2687edcb589,9e6a6e54981efb773fd7db82,b50fa6a02d2cf50d97fadc25,2025-05-16 06:05:02,Jalisco,18-24,20k-35k,Joven digital,Media,63.23,0
PR000080,feac25d65a13234dc62849e79d1c8b3c,175232900608baf11cfecac6,478a516f22d6e5207dfa6b66,2025-09-07 12:33:46,San Luis Potosí,45-54,0-10k,Prospecto informativo,Media,40.67,0
PR000081,c8f6af2252f8fa16e1d79fc4751bf4c0,0268aca8d7c9382d3acd4b30,2c2d4036f756acbf78cae140,2025-03-12 04:43:47,Baja California,18-24,0-10k,Joven digital,Alta,68.37,0
PR000082,9512066befec028c69c652434c15cfad,581c5c289a511b99f921cb55,616bcec1f905a3dac332a08d,2025-04-19 21:59:28,Coahuila,35-44,20k-35k,Asalariado consolidado,Baja,51.5,0
PR000083,a2b604254d21ee09bcad72877b67f0fd,05cf31a08721977a73b81dd6,286dc6389dac279997d41652,2025-08-22 03:22:40,Estado de México,25-34,10k-20k,Baja intención masivo,Baja,37.71,0
PR000084,c8bba23a02da18b63620954932abf81e,48de959b3a2af99491592071,ee3032a6993197414d192793,2025-06-08 08:47:23,Veracruz,45-54,20k-35k,Asalariado consolidado,Baja,53.1,0
PR000085,27f40efd8daf119eb5d3619aec3d21fc,83638e3fec1de3b48687f814,1858edc7bcd908fffbd1d625,2025-11-27 13:25:17,Querétaro,25-34,10k-20k,Cliente existente digital,Baja,62.44,1
PR000086,c8e4507dd69452b37327f743ecc7715c,e9ad0f8ad23b3d4c27adf50f,9583003fbc10c8df04d8128e,2025-04-25 01:03:58,Veracruz,18-24,0-10k,Joven digital,Media,62.64,0
PR000087,03e3f43139c87389d0aa7a30a58e6b1f,27a060efaa61a182d371aac3,47db91ddeb1e7789f338495a,2025-11-17 01:42:01,CDMX,25-34,35k-50k,Joven digital,Media,71.91,0
PR000088,dc1df1f77602513c71aeca4727be93cb,ff45ca71d5e1360704dc2196,7930d30a96799b181ac643e4,2025-03-30 01:54:31,Estado de México,55+,35k-50k,Cliente existente digital,Baja,74.51,1
PR000089,e8a98eb58f3a1e28c5486fa5545109ca,f37777f0c4262b647452adfc,91b4c923e77fcac9160cc1ed,2025-07-10 22:34:54,CDMX,45-54,50k+,Prospecto informativo,Media,72.68,0
PR000090,130d9e2e9f5bcc9489f3ca85f4708ceb,153abe6760998192f32f738e,1fa0c514dc46102d89bfc419,2025-05-10 23:25:12,Puebla,25-34,10k-20k,Baja intención masivo,Baja,32.93,0
PR000091,05b23604f68478682885e08eccdf0738,377d08f56ac8522e0473cc99,6ccb6f6e25e95d7b4313d356,2025-02-16 09:20:21,Nuevo León,25-34,10k-20k,Joven digital,Media,54.77,0
PR000092,b8f28cf72f0f2623c96fef420dca0288,47794b92da66a7d7b6fcca8a,a4658ba8712b08c409807b3e,2025-06-25 08:48:31,CDMX,18-24,10k-20k,Joven digital,Alta,62.41,0
PR000093,57a0ed59162a8fecd2e6507c2f77f4fc,07dddfbf8b01c1f20012712f,92c64e7e18c66014313ec71d,2025-03-24 05:34:13,CDMX,25-34,50k+,Prospecto informativo,Baja,55.64,0
PR000094,2635d76ce214cb1275053349361f2427,8cbe684ee011bcead1970c6a,6fb50cae1277fc68355dba97,2025-04-02 07:35:52,Querétaro,25-34,20k-35k,Joven digital,Media,66.98,0
PR000095,65d91fe23347cd986780d396cc574044,8b6c6256af4398b8eb74bde6,dcf11ca8cb26b1b1db9c3985,2025-07-29 12:02:00,Jalisco,45-54,50k+,Prospecto informativo,Baja,54.78,0
PR000096,fa80b178f1ed988140d287cfe5897fd4,57083e4c5ac9276438f2e603,fa58e203e40b4a429f69db0a,2025-11-22 06:12:35,Otros,18-24,35k-50k,Cliente existente digital,Baja,61.39,1
PR000097,51c1ddf991f618a66eefd7dfa73114c1,f49935b46acfb411fef02f4a,2ecd335d0147553ca4c7d932,2025-03-01 03:34:57,Querétaro,45-54,10k-20k,Baja intención masivo,Baja,22.29,0
PR000098,d9ad6c54cfd3b942104c7040d11e3e77,8dd114a04710593ef9eb93af,d43dc88ddbb0fd468f6aacf7,2025-07-10 20:21:32,Estado de México,18-24,10k-20k,Joven digital,Alta,62.5,0
PR000099,ede9d16d4f196576893231f5bc5fd7b6,ebc5ccb222bc032d006cbe8e,796c783a382d9006a508ce23,2025-04-03 00:52:13,Querétaro,45-54,10k-20k,Baja intención masivo,Baja,39.45,0
PR000100,41137505f091d442a7e840e342e44b21,8e993fd786a153bf35d9e0b2,c0fd8acf985ff70aae1b9c67,2025-03-22 16:01:34,CDMX,25-34,20k-35k,Prospecto informativo,Baja,43.48,0
PR000101,ade0fa7b8834b62dd666c621e6bc0d11,07da5fbb630219da54bc3b1f,cb0f1108860a36611fac3a33,2025-03-08 01:21:23,Otros,18-24,50k+,Cliente existente digital,Baja,52.12,1
PR000102,c46a441605712968077baef86a79bbcd,0c549458276c19e2fbcc482a,da1625279bf45ee205ea2f69,2025-07-28 22:39:21,Puebla,45-54,0-10k,Prospecto informativo,Media,44.09,0
PR000103,3e3942c38a6bef880191eb3db62f1ccd,f4ee2bee605e88843c438cf7,ee8dbf9e17cc5f2d669ca66d,2025-02-13 11:22:17,Chihuahua,25-34,35k-50k,Prospecto informativo,Baja,56.49,0
PR000104,175ea53860fca319073595c8f727dfb4,a4e3f70b301c792e727328c1,c544943fa914f1ac6a011bf2,2025-08-23 07:50:02,CDMX,45-54,10k-20k,Baja intención masivo,Baja,26.39,0
PR000105,61f96ddd8a59026ee053385665a505ee,16956f3784526b6adbc176d5,806dbb7b05b9e0f85f49eecb,2025-01-26 09:17:52,Puebla,45-54,20k-35k,Asalariado consolidado,Media,60.51,0
PR000106,4b11178c1da13d3668f3a942f8cfb1f0,327a20eaac1a39e106a1435a,63d623c33e300dd055a7a95b,2025-10-15 15:14:20,Puebla,55+,10k-20k,Prospecto informativo,Media,49.51,0
PR000107,fd972cec46df74f5d9ab35082eab4f0a,0123a770c72bacba2cc0da8b,2c4b9f8e9fdaf1d51d8043be,2025-02-08 12:43:47,Otros,45-54,20k-35k,Asalariado consolidado,Baja,57.99,0
PR000108,33ad9f0e4f7f39656785891830dfba45,bcf81c1d00680ac48227f51c,43e789b4992cf4feddc8600c,2025-06-25 00:50:42,Querétaro,25-34,20k-35k,Joven digital,Alta,73.7,0
PR000109,7809420bbebcb919a25cedc56db7eebf,e7855bdaefbeb4a96c5304c2,0ef3f278f19a622b30dd76ef,2025-06-14 23:50:56,Puebla,25-34,10k-20k,Baja intención masivo,Baja,34.4,0
PR000110,c425575627e6368a8e98cfbd51e64063,c9e7256a33add268b30e3d60,3f20e08e5711a0735a337c45,2025-08-29 00:37:57,Nuevo León,35-44,50k+,Cliente existente digital,Media,88.3,1
PR000111,e49f17444dd59f952967612b69ee9e9f,a8cefeb72105f71813483e1a,a1df4a4fd940a7a63abc92d6,2025-08-14 12:57:22,Estado de México,25-34,20k-35k,Joven digital,Media,70.36,0
PR000112,8aec251e0228f4a8a52c50b34d4e2782,b90fe3e87d5da5952def0fc3,a173fd9bd309c1910c2fa076,2025-08-07 21:28:00,Guanajuato,35-44,0-10k,Cliente existente digital,Baja,45.65,1
PR000113,4da4202ce1c71f747f5d7a728aa526c0,55843c21240a46aa40c4508d,ff8428ee1139c06f56a42bb1,2025-06-02 02:33:55,Estado de México,25-34,10k-20k,Joven digital,Media,54.89,0
PR000114,169b2900d2146962edb0d2ac8cc1b8fc,e65c6f977ef100b2d5b4b214,02038092b3305d02b3871e84,2025-08-07 01:03:23,CDMX,35-44,10k-20k,Baja intención masivo,Baja,40.94,0
PR000115,aa7c273bb293cf8aedb1d305403fb736,3ee3fc53cff392f1bca1bfd8,6b02354ed52615b3b8ddad0b,2025-05-06 17:32:42,Michoacán,25-34,10k-20k,Joven digital,Alta,77.7,0
PR000116,907dcde5b011b1af8e5e4b94aca21409,1b31649c923386055ba8d6ee,0fc2576c4d07072a4c23a101,2025-03-17 21:48:05,Otros,18-24,10k-20k,Joven digital,Alta,68.34,0
PR000117,07ccb8c9788ebb73671bf90059c11a5a,723ab61d58c232b7c2d2ab04,02fe880e57cfab7da30266ed,2025-04-28 05:44:14,CDMX,55+,10k-20k,Prospecto informativo,Media,54.53,0
PR000118,acdc5b9f885eaad2c9c123fb9a0a087d,b3d312d23a75157e6f799802,9103be88bdd02a8168386e2e,2025-06-08 21:33:19,Guanajuato,45-54,35k-50k,Cliente existente digital,Alta,96.07,1
PR000119,16c7cff393847df1e72483da346e4b7f,12c0b8646e04d564397a1091,657002300ebb3823da549665,2025-10-24 08:08:25,CDMX,25-34,50k+,Joven digital,Alta,81.0,0
PR000120,ab27543b9070a7fd283ae9762ee77c9f,8bfcf9c2455f415c350da528,579fa635fbeb514b14e2973d,2025-02-28 21:54:05,Yucatán,18-24,0-10k,Cliente existente digital,Baja,49.81,1
PR000121,502a530ea2795ec069d8388bb858674f,5ac48594f0b2a2e71761bf59,c409af221c3a94df05014839,2025-03-16 20:43:31,Nuevo León,35-44,35k-50k,Ahorro alto potencial,Alta,90.91,0
PR000122,6ab99e1af05ec540751b7797f4043792,40bba42c03c37e40b9e73ac9,2e2a649d16bcceee4832ecca,2025-10-26 00:55:10,Veracruz,25-34,10k-20k,Cliente existente digital,Media,70.52,1
PR000123,5ddc43b6490c4bed43fad531fda249a2,2c77b8525acf7120e6ad7960,e4d1ede3bc6043c60601cbf9,2025-01-26 17:55:21,Baja California,35-44,20k-35k,Asalariado consolidado,Media,84.18,0
PR000124,dc4d7702e010138a61aff906fe87e90f,3d91ee600b9a4e8ea2092765,5d9814ac37c8a4eaf3587870,2025-03-27 00:27:46,Chihuahua,45-54,10k-20k,Prospecto informativo,Media,60.56,0
PR000125,cc66a3a31a5acfcfddb3a05af5624f66,3b55b35d42fffc0986b21203,129c35b287db3171ef17c6f7,2025-05-01 20:21:25,CDMX,25-34,10k-20k,Joven digital,Media,58.28,0
PR000126,742074b52462e717a6b485801a7616aa,e93e9f9963bb42613740564b,0aaa9f9e0ea7bb797c1dcb3b,2025-06-25 16:47:46,Otros,25-34,10k-20k,Joven digital,Media,66.63,0
PR000127,5a17ca23281bc59297d38a68710e5663,de2f54382caca2ef64eea411,369215266dbcc87fad226cbe,2025-04-17 10:46:51,Jalisco,18-24,20k-35k,Joven digital,Media,59.55,0
PR000128,a8f3bd2fcd0126f481052ec870a243ec,ec302d5421e28628e217d113,87b1a3ab7e953b16d2efb0d2,2025-06-11 09:28:17,CDMX,25-34,10k-20k,Joven digital,Media,63.04,0
PR000129,f5190b21c34649629c0872dda3cbabc5,453ad03d4f919407834b866a,64eb431eb84046623127dbc9,2025-03-16 16:37:02,Guanajuato,35-44,35k-50k,Ahorro alto potencial,Alta,95.02,0
